name,phone,website,tipo_site,status
"YOKOTA & XAVIER, Dentista Zona Leste SP, Clinica Vila Matilde, Especialista, Melhor: Implante Dentario Canal BucoMaxilo Siso",(11) 94800-7313,https://www.yokotaodontologia.com/,site próprio,200
Dentista 24hrs | Odonto Urgente Tatuape,(11) 2097-1155,https://www.odontourgente.com.br/,site próprio,406
Domo Odontologia Clinica e Atendimento 24 horas,(11) 93775-0181,https://domoclinica.com.br/,site próprio,200
Venturini Odontologia,(11) 5093-7633,http://venturiniodontologia.com.br/,site próprio,200
EM Odontologia,(11) 3887-5867,https://www.emodontologia.com.br/,site próprio,200
Dentista no Centro,(11) 96536-0450,https://www.dentistanocentro.com.br/contato/,site próprio,406
Odontologia Todo Dia,(11) 2365-1998,https://odontologiatododia.com.br/,site próprio,406
Clinica Bela Vista,(11) 98975-4251,http://www.clinicabelavista.com/,site próprio,200
"PROTESE DENTARIA, PROTESE PROTOCOLO E DENTISTA 24 HORAS - Dr Juvencio Neto",(11) 96275-1722,,sem site,
Lira Odonto,(11) 2574-0958,,sem site,
Dra Carolina Macedo ( Emergencia odontologica).,(11) 98837-3689,http://www.dracarolinamacedo.com.br/,site próprio,200
Dentistas Av Paulista SP | Amil Hapvida Itau Metlife Santander Sulamerica Unimed,(11) 4637-8838,https://bit.ly/3jArQkj,agregador/social,200
Dentista Vila Olimpia SP | Amil Hapvida Itau Metlife Santander Sulamerica Unimed,(11) 4637-8838,https://bit.ly/2Ed4X6r,agregador/social,200
"Sorridents Anhangabau: Clinica Odontologica, Dentista, Implante Dentario, Sao Paulo SP",(11) 3214-0971,https://sorridents.com.br/unidade/anhangabau,site próprio,403
Clinica Dra. Marytha Nara | lentes em resina em Tatuape Sao Paulo | Implantes dentarios em Tatuape Sao Paulo,(11) 98921-6340,https://dramarythanara.com.br/,site próprio,200
Dentista | Siso | Implante Dentario | Protese Protocolo | Aparelho | OdontoGama | Protese Dentaria | Dor de dente,(11) 3459-4440,http://odontogama.com.br/,site próprio,"ERRO: HTTPSConnectionPool(host='odontogama.com.br', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'odontogama.com.br'. (_ssl.c:1000)"")))"
Dra. Carolina M. Ribeiro,(11) 3805-3596,http://www.dentistatatuape.com/,site próprio,406
"Dra Luciana Ferreira Batista / Dentista particular e convenios (Bradesco, Odontoprev, etc)",(11) 99112-4645,,sem site,
OdontoUno,(11) 97470-7172,http://www.odontouno.com.br/,site próprio,200
Instituto Odontologico - Implantes dentarios em Moema - Dentista de urgencia em Moema,(11) 91437-2728,,sem site,
Sao Paulo Dental Studio,(11) 94506-8360,http://www.saopaulodentalstudio.com.br/,site próprio,406
AGN Odontologia | Implante Dentario | Aparelho Invisivel | Parque da Mooca | Sao Paulo - SP,(11) 4750-2613,http://www.agnodontologia.com.br/,site próprio,200
Portal do Sorriso,(11) 95716-8474,https://www.portaldosorriso.com.br/,site próprio,403
Dentar Odontologia,(11) 97329-0094,https://www.dentar.com.br/,site próprio,200
Phile Odontologia| Dentista Av. Paulista| Implantes | Invisalign| Periodontia| Endodontia,(11) 3051-6624,http://www.phileodontologia.com.br/,site próprio,406
Invisalign Vila Mariana | NIPO Odontologia | Clinica Odontologica Multidisciplinar | Sao Paulo,(11) 5081-5288,,sem site,
Clinica Odontologica DenteFix - Jd Sao Paulo - Zona Norte SP,(11) 3791-0461,https://beacons.ai/dentefix,agregador/social,403
Dra. Michelle C. Rodrigues,(11) 97629-1674,https://www.dramichellecrodrigues.com/,site próprio,200
RM Odontologia Integrada | Implante Dentario | Aparelho Invisivel | Vila Clementino | Sao Paulo - SP,(11) 4750-2343,https://rmodontointegrada.com.br/,site próprio,200
LSR ODONTOLOGIA,(11) 96359-4671,https://www.lsrodontologia.com.br/,site próprio,406
Odontologia Sistemica,(11) 3661-8533,http://odontologiasistemica.com.br/,site próprio,"ERRO: HTTPConnectionPool(host='odontologiasistemica.com.br', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000013EE002E3F0>: Failed to resolve 'odontologiasistemica.com.br' ([Errno 11001] getaddrinfo failed)""))"
Odontoclinic Vila Mariana,(11) 99945-8333,https://odontoclinicvilamariana.com.br/,site próprio,200
Clinica Sorrisinhos l Ortodontia l Odontopediatria l Pacientes Especiais,(11) 99182-8232,http://www.sorrisinhos.com.br/,site próprio,200
"Clinica Hub Odonto Vila Olimpia - Implante Dentario, Facetas Dentaria, Clareamento, Harmonizacao Facial",(11) 91755-4254,https://hubodontovilaolimpia.com.br/,site próprio,200
Inova Premier - Clinica Odontologica - Implantes em ate 24H,(11) 3881-6100,http://www.inovapremier.com.br/,site próprio,200
Clinica Miki Odontologia Familiar,(11) 99690-9054,https://www.odontomiki.com.br/,site próprio,200
"Carvalho Odontologia | Dentista Especialista em Implante, Lente, Protese... Porto Seguro, Sulamerica, Careplus, Rede Unna...",(11) 2201-4007,http://www.carvalhoodontologia.com.br/,site próprio,200
Dra. Natalia Mosca,(11) 99445-1842,,sem site,
Idee Odontologia,(11) 5083-3144,http://ideeodontologia.com.br/,site próprio,200
Implantes Dentarios | Dentista | Clinica Muniz | Itaim Bibi - SP,(11) 91561-3734,http://www.clinicamuniz.com.br/,site próprio,200
Clinica Odontologica,(11) 4301-9799,,sem site,
Dentz Vila Mariana Clinica Odontologica,(11) 94604-6000,"https://api.whatsapp.com/send?phone=5511946046000&text=Ol%C3%A1,%20quero%20agendar%20uma%20avalia%C3%A7%C3%A3o!",agregador/social,200
COI - Clinica de Odontologia Integrada | Dentista | Implante Dentario | Vila Andrade | Sao Paulo - SP,(11) 4750-1313,http://www.odontologiacoi.com.br/,site próprio,406
Dra. Isabela Martins | Dentista,(11) 93723-8039,https://www.institutounitus.com.br/,site próprio,200
Suzuki Dental Care Dr.Lauro Suzuki,(11) 99933-4035,,sem site,
A Clinica Oral,(11) 3849-8866,https://www.aclinicaoral.com.br/,site próprio,200
Odontoclinic - Santa Cecilia,(11) 2157-1870,https://www.clinicaemsantacecilia.com.br/,site próprio,200
"Dentista Dr. Miarelli - Lentes de Resina em Sao Paulo, SP",(11) 94358-8838,http://www.drmiarelli.com.br/,site próprio,"ERRO: HTTPConnectionPool(host='www.drmiarelli.com.br', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000013EDFFC4E60>: Failed to resolve 'www.drmiarelli.com.br' ([Errno 11001] getaddrinfo failed)""))"
Implante Dentario I Dentista I EspacoDent l Socorro l Sao Paulo - SP,(11) 4750-2345,https://www.instagram.com/espacodent/,agregador/social,200
ImplArt Odontologia Implante Dentario,(11) 3262-4750,https://www.implart.com.br/,site próprio,200
Benatti Odontologia,(11) 97632-4570,http://www.benattiodontologia.com.br/,site próprio,ERRO: Exceeded 30 redirects.
Dentista em Jardim Paulista SP | Borges Britto Odonto,(11) 99777-7137,http://borgesbrittoodonto.renderforestsites.com/,site próprio,404
Odonto Sorriso SP,(11) 3237-0210,https://odontosorrisosp.com.br/,site próprio,200
Clinica OdontoFares,(11) 3062-4473,http://www.odontofares.com.br/,site próprio,200
Dentista Av Paulista Dra.Regla,(11) 99202-7527,https://draregladentista.com/,site próprio,406
Sorridents,(11) 99183-5932,https://sorridents.com.br/,site próprio,403
SouSmile | Paulista | Aparelho Invisivel,(11) 93305-8978,https://www.sousmile.com/,site próprio,200
Dentista - Dra. Claudia Marchetto Costa ( Odontologia Marchetto Costa ),(11) 93430-6262,https://www.odontologiamarchettocosta.com.br/,site próprio,520
Meu Dentista SP,(11) 3530-3832,https://meudentistaspimplantes.com.br/,site próprio,"ERRO: HTTPSConnectionPool(host='meudentistaspimplantes.com.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013EDFF555E0>: Failed to resolve 'meudentistaspimplantes.com.br' ([Errno 11001] getaddrinfo failed)""))"
W Odonto|Dentista Paraiso|Microscopio Operatorio|Implantes Dentarios|Ortodontia Invisalign|Estetica Dental|Endodontia,(11) 98766-1249,http://www.instagram.com/wodontoconsultorio,agregador/social,200
Sorriso Santana Estudio Oral,(11) 2288-1111,https://www.sorrisosantana.com.br/,site próprio,406
Coopa Odontologia | Dentista em Sao Paulo,(11) 3331-4815,http://coopaodontologia.com.br/,site próprio,406
Implante Dentario Odonto Clinica Romano,(11) 3813-6207,https://bit.ly/3DfKwCs,agregador/social,"ERRO: HTTPSConnectionPool(host='www.romano-odonto.com.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013EDFFC5D90>: Failed to resolve 'www.romano-odonto.com.br' ([Errno 11001] getaddrinfo failed)""))"
Setimplan Centro Odontologico,(11) 3231-5696,http://setimplan.com.br/,site próprio,200
Dental Studio | Implantes dentarios | Dentista | Tucuruvi | Zona Norte - SP,(11) 4750-1574,https://clinicadentalstudio.com.br/,site próprio,200
Odonto Center Sp-Odontologia Especializada em Sao Paulo,(11) 99347-6051,,sem site,
Odonto Bela Vista,(11) 94134-6141,https://odontobelavista.com.br/,site próprio,200
Implante Dentario | Lentes de Contato Dental | Fratelli Odontologia | Barra Funda - Sao Paulo - SP,(11) 91373-7559,http://www.fratelliodontologia.com.br/,site próprio,"ERRO: HTTPConnectionPool(host='www.fratelliodontologia.com.br', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000013EE0CC86E0>: Failed to resolve 'www.fratelliodontologia.com.br' ([Errno 11001] getaddrinfo failed)""))"
Odontoclinic Cidade Ademar,(11) 94723-5723,https://odontocliniccidadeademar.com.br/,site próprio,200
Odonto Pinheiros,(11) 3081-9404,http://www.odontopinheiros.com.br/,site próprio,200
"Restore Sorriso Clinica Odontologica, Referencia Lentes de Resina/Porcelana, Dentista, Tatuape, Sao Paulo",(11) 97839-3410,https://www.restoresorriso.com.br/,site próprio,200
Pro Dentistas,(11) 3241-1974,,sem site,
Clinica-Escola de Odontologia,(11) 2178-1460,https://www.unicid.edu.br/servicos-a-comunidade/clinica-escola-de-odontologia/,site próprio,403
Sorridents,(11) 2129-7624,http://www.sorridents.com.br/unidade/augusta/,site próprio,403
Facere Odontologia Especializada | Dentistas | Implante dentario | Clareamento dental,(11) 99527-2236,http://www.facereodonto.com.br/,site próprio,200
Clinica Nova Jerusalem - Dentista Sao Paulo,(11) 99463-8070,https://www.clinicanovajerusalem.com/,site próprio,406
Confio Odontologia | Implantes | Proteses | Dentista em Sao Paulo,(11) 94055-8565,,sem site,
Clinica MIASIRO,(11) 3826-0348,http://www.odontologiamiasiro.com/,site próprio,200
Unika Odontologia,(11) 4750-1595,http://unikaodontologia.com.br/odonto/,site próprio,"ERRO: HTTPConnectionPool(host='unikaodontologia.com.br', port=80): Max retries exceeded with url: /odonto/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000013EE0CB3CB0>: Failed to resolve 'unikaodontologia.com.br' ([Errno 11001] getaddrinfo failed)""))"
Dentate Clinica Odontologica,(11) 97272-3368,http://www.dentate.com.br/,site próprio,200
Clinica Cor Odonto,(11) 3251-5821,https://www.corodonto.com/,site próprio,200
Pode Sorrir - Clinica Odontologica,(11) 5199-9469,https://www.podesorrir.com.br/,site próprio,"ERRO: HTTPSConnectionPool(host='www.podesorrir.com.br', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1000)')))"
ACS Odontologia | Dentista em Itaquera,(11) 2205-5290,,sem site,
Sorridents,(11) 2227-3700,https://sorridents.com.br/unidade/tatuape,site próprio,403
Clinica Odontothal - Dentista no Tucuruvi,(11) 2307-4535,http://www.odontothal.com.br/,site próprio,"ERRO: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Dentista Perto de Mim | Consultorio Odontologico Dra Ana Carolina,(11) 98507-0994,,sem site,
HMeister Odontologia - Dentista Brooklin Sao Paulo,(11) 4301-7300,https://www.hmeister.com.br/,site próprio,200
NEO - Nucleo de Estudos Odontologicos,(11) 5084-1926,http://www.neoodonto.com.br/,site próprio,"ERRO: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Odonto Sessao Unica,(11) 5051-2148,,sem site,
Clinica So Dente,(11) 94767-5276,http://www.sodente.com.br/,site próprio,406
Clinica Dr. Ricardo Aguilar,(21) 2247-6156,http://www.clinicaricardoaguilar.com.br/,site próprio,200
Dra. Renata Pinho - Lagoa Rio Odontologia,(21) 98419-0453,https://www.instagram.com/lagoario_odonto/,agregador/social,200
"Consultorio Odontologico Particular Bianca Barata | Dentista Emergencia 24h WhatsApp | Protese, Implante - Copacabana/RJ",(21) 99570-2659,http://www.biancabarata.com/,site próprio,406
"SorriaMed Clinica Odontologica | Equipe de Dentistas Especialistas na Taquara | Implantes Dentarios, Proteses e Estetica.",(21) 99933-2421,https://www.sorriamed.com.br/,site próprio,200
Walmira Clinica Odontologica - Dentistas - Atendimento de Urgencia e Emergencia,(21) 3875-9909,http://www.walmira.com.br/,site próprio,200
Dentista Dra. Jessica Morais | Clinica Odontologica | Lente de Resina | Faceta | Invisalign | Ortodontia | Limpeza | Botafogo,(21) 98103-3189,https://tinyurl.com/dentistajessicamorais,agregador/social,200
Odontoarte Rio | Odontologia Especializada,(21) 2240-3543,http://odontoarterio.com/,site próprio,406
021 Dental | Dentista Carioca Shopping RJ | Amil Hapvida Metlife Primavida Sulamerica Unimed,(21) 97637-2259,https://021dental.com.br/dentista-carioca-shopping-rj/,site próprio,200
Dentista Tijuca RJ | Amil Hapvida Metlife Primavida Sulamerica Unimed,(21) 96779-4631,https://021dental.com.br/dentista-na-tijuca-rj/,site próprio,200
J.Juca Odontologia | Dentista 24 Horas Largo do Machado - Rio de Janeiro,(21) 99750-7770,https://j-juca-odontologia.com.br/,site próprio,200
Clinica Odontologica / Dra. Flavia Rabello de Mattos / Tijuca - RJ,(21) 3978-3331,https://www.draflaviarabellodemattos.com.br/,site próprio,200
Dentista Barra da Tijuca | Amil Hapvida Metlife Primavida Sulamerica Unimed,(21) 97550-4483,https://021dental.com.br/dentista-na-barra-da-tijuca/,site próprio,200
Rio Dentistas 24 Horas,(21) 99372-8715,https://www.riodentistas24horas.com.br/,site próprio,200
PREV ODONTO PRIME,(21) 98157-9671,,sem site,
Clinica Odontobarra | Dentista | Implante Dentario | Barra da Tijuca,(21) 97559-3724,https://www.clinicaodontobarra.com.br/,site próprio,406
Odonto Liuzzi | Lentes de Contato Dental | Protese Protocolo | Ortodontia| Periodontia | Implante | Dental Tourism,(21) 96933-5067,https://odontoliuzzi.com.br/?utm_source=google&utm_medium=gmb&utm_campaign=perfil,site próprio,200
Dentista 24 horas Urgencia - Smile Care,(21) 99073-6585,https://dentista24horas.meudoutor.com/,site próprio,200
Dentista Meier RJ | Amil Bradesco Metlife Primavida Sulamerica Unimed,(21) 2263-8960,https://021dental.com.br/dentista-no-meier-rj/,site próprio,200
Dentista Madureira RJ | Amil Hapvida Metlife Primavida Sulamerica Unimed,(21) 2263-8960,https://021dental.com.br/dentista-em-madureira-rj/,site próprio,200
Dentista Bonsucesso RJ | Amil Hapvida Metlife Primavida Sulamerica Unimed,(21) 2263-8960,https://021dental.com.br/dentista-em-bonsucesso-rj/,site próprio,200
Clinica Ana Andrade,(21) 99838-0021,http://anaandrade.odo.br/,site próprio,200
Dentistas Copacabana - Clinica Odontologica,(21) 99616-7799,http://wa.me/+5521996167799,agregador/social,200
Consultorio MR Odontologia | Dentista na Vila da Penha | Emergencia Odontologica | Implante Dentario,(21) 96572-1313,https://consultoriomrodontologia.com.br/,site próprio,200
"Dra. Gabriela Lemos, Dentista",,https://www.doctoralia.com.br/gabriela-lemos/dentista/rio-de-janeiro?utm_source=google&utm_medium=gmb&utm_campaign=694890&utm_content=website,site próprio,200
021 Dental | JN Odontologia | Dentista Taquara | Amil Hapvida Metlife Primavida Sulamerica Unimed,(21) 97522-0948,https://021dental.com.br/dentista-na-taquara-rj/,site próprio,200
Clinica Sorrio | Implante Dentario | Dentista de emergencia | Clinica odontologica | Copacabana | Rio de Janeiro - RJ,(21) 3959-5277,https://www.sorrio.com.br/,site próprio,200
Oral Unic Copacabana | Implantes Dentarios | Clinica Odontologica | Dentistas Copacabana | Rio de Janeiro - RJ,(21) 3738-7971,https://oraluniccopacabana.com.br/,site próprio,406
Orto Padrao,(21) 97660-7628,http://ortopadrao.com.br/,site próprio,406
Clinica My Way Odontologia - Emergencia Odontologica 24 Horas - Tijuca,(21) 99977-8183,https://myway-odontologia.com/,site próprio,200
Centro Odontologico Carioca | Dentista Centro RJ,(21) 99679-0295,https://www.centroodontologicocarioca.com.br/,site próprio,200
Dentista Copacabana - Consultorio Odontologico Vitrine,(21) 96572-2498,,sem site,
Dentista Jacarepagua RJ | Amil Hapvida Metlife Primavida Sulamerica Unimed,(21) 96099-3019,https://021dental.com.br/dentista-em-barra-da-tijuca-abelardo-bueno/,site próprio,200
Dra. Daiane Paloschi - Dentista no Rio de Janeiro,(21) 99622-9549,https://dradaianepaloschi.com.br/,site próprio,406
Nahser Odontologia Tijuca,(21) 99251-9760,http://nathaliadiasodonto.com.br/,site próprio,200
Dentista Metlife,(21) 2263-8960,https://021dental.com.br/dentista-em-bangu-rj/,site próprio,200
"Dentista Dr Gerson Clinica Condent | Implante Dentario, Lentes de contato dental, Harmonizacao Orofacial",(21) 2270-8870,http://condent.com.br/,site próprio,503
Dentista Emergencia Zona Sul RJ,(21) 99720-9594,https://rafaelcalabrio.com.br/,site próprio,200
Dr. Rony Hansen - Urgencias Dentarias 24 Horas | Ipanema,(21) 99989-5247,http://www.dentistasemipanema.com.br/,site próprio,200
SempreSorrir Odontologia | Implante Dentario | Aparelho Dentario | Vila Isabel | Rio de Janeiro - RJ,(21) 3512-1191,https://www.clinicasempresorrir.com.br/implantes,site próprio,200
Dentista Copacabana RJ | Amil Hapvida Metlife Primavida Sulamerica Unimed,(21) 99492-4106,https://021dental.com.br/dentista-em-copacabana-rj/,site próprio,200
Service Odonto Laranjeiras,(21) 98744-2039,https://www.serviceodonto.com.br/,site próprio,"ERRO: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Centro Odontologico da Tijuca,(21) 2570-6047,https://www.centroodontologicodatijuca.com.br/,site próprio,"ERRO: HTTPSConnectionPool(host='www.centroodontologicodatijuca.com.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000013EE0CCA360>: Failed to resolve 'www.centroodontologicodatijuca.com.br' ([Errno 11001] getaddrinfo failed)""))"
Dentista Ipanema,(21) 98898-6552,https://www.dentistaipanema.com/,site próprio,200
OdontoCompany Bonsucesso/RJ,(21) 97035-9288,http://www.odontocompanybonsucesso.com.br/,site próprio,200
ApicalCenter Clinica Odontologica no Rio de Janeiro,(21) 2481-1258,https://www.apicalcenter.com.br/,site próprio,406
Implante Sorrir (Vila da Penha),(21) 99508-8686,http://www.draclaudiademendonca.com/,site próprio,405
Clinica Multi Oral,(21) 98697-2009,http://www.multioral.com.br/,site próprio,200
DENTISTA 24 HORAS ODONTO MEIER RJ,(21) 97655-8287,,sem site,
Dra. Valeria Ferreira | Dentista no Meier Rio de Janeiro | Odontologia Estetica e Clareamento Dental no Meier,(21) 99250-6802,https://sites.google.com/view/dentistavaleriaferreira/in%C3%ADcio,agregador/social,200
Guilherme Rothier,(21) 96899-2262,https://www.guilhermerothier.com.br/,site próprio,"ERRO: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Loureiro Odontologia,(21) 97736-7436,https://www.loureiroodontologia.com.br/,site próprio,200
Dentista Centro RJ | Odonto Loureiro Clinica Odontologica,(21) 2263-9285,http://odontoloureiro.com.br/,site próprio,200
Office Dente Centro Odontologico - UNIDADE CENTRO,(21) 97002-0303,,sem site,
Sorria Rio Dentistas,(21) 3988-8824,https://www.instagram.com/sorriariomadureira1/,agregador/social,200
Cinelli Odontologia,(21) 99799-4775,https://clinicacinelliodontologia.com.br/dentista-centro-rio-de-janeiro/,site próprio,406
Dentista Ilha do Governador RJ | Amil Hapvida Metlife Primavida Sulamerica Unimed,(21) 2263-8960,https://021dental.com.br/dentista-ilha-do-governador-rj/,site próprio,200
Service Odonto Meier 2,(21) 98744-2039,,sem site,
Service Odonto Ramos,(21) 98744-2039,https://www.serviceodonto.com.br/,site próprio,"ERRO: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
RR Clinica Odontologica,(21) 97985-8731,https://wa.me/5521979858731,agregador/social,200
Dentista Dra. Ana Araujo,(21) 96708-3251,,sem site,
Dentistas 24 Horas | Dental Face Leblon,(21) 2274-4144,https://dentalfaceleblon.com.br/,site próprio,200
Dentista Tijuca-Rio de Janeiro Dra Erica Lopes,(21) 96586-8967,https://www.draerica.com/,site próprio,"ERRO: HTTPSConnectionPool(host='www.draerica.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1000)')))"
Rs Odontologia,(21) 99501-0580,http://www.rsodontologia.com.br/,site próprio,200
Dr. Carlos Pazin - Unidade Catete & Largo do Machado - Centro de Odontologia e Saude Oral,(21) 99401-4570,https://drcarlospazin.com.br/,site próprio,200
Dentista Freguesia Jacarepagua RJ | Amil Hapvida Metlife Primavida Sulamerica Unimed,(21) 2263-8960,https://021dental.com.br/dentistas-freguesia-jacarepagua/,site próprio,200
Sorria Odontologia | Hospital da Gamboa,(21) 2018-2537,http://sorriaodontologia.com/,site próprio,406
Dr. Carlos Pazin - Unidade Leblon - Centro de Odontologia e Saude Oral,(21) 97185-7509,https://drcarlospazin.com.br/,site próprio,200
Clinica Odontologica Odontocor - Dentista Centro Rj | Especialista em Tratamento de Canal,(21) 99601-8629,https://www.dentistacentrodorio.com.br/,site próprio,200
Service Odonto Riachuelo,(21) 98744-2039,https://www.serviceodonto.com.br/,site próprio,"ERRO: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
My Way Odontologia | Emergencia Odontologica 24 horas,(21) 99977-8183,http://myway-odontologia.com/,site próprio,200
IR Implante Rio,(21) 3208-1923,http://www.implanterio.net/,site próprio,200
Dentista no Meier - Pedro Augusto Odontologia,(21) 96618-2020,https://drpedroaugusto.com.br/,site próprio,406
Clinica Odontologica Dr. Wellington Vasques,(21) 3301-1147,http://www.odontovasques.com/,site próprio,200
clinica dentistas:)smile,(21) 98737-4171,,sem site,
Top Implantes Odontologia - Dentista Rio de Janeiro,(21) 96436-2456,https://www.topimplantes.com/proteses-e-implantes-dentarios/,site próprio,"ERRO: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
ODONTO R 24H,(21) 2594-5144,https://odontor24h.wixsite.com/website,site próprio,200
Clinica Odonto Rio Iraja,(21) 99355-4421,,sem site,
Dr. Igor Ramos - Harmonizacao Facial Rio de Janeiro - Preenchimento Labial Rio de Janeiro - Botox Rio de janeiro- Sculptra RJ,(21) 96979-1126,http://www.drigorramos.com.br/,site próprio,200
Gilaberte Estetica e Odontologia | Harmonizacao Facial | Botox | Dentista | Implante | Protese | Centro Rio de Janeiro RJ,(21) 98882-1605,http://bit.ly/3uaqV0M,agregador/social,200
Copacabana Odonto,(21) 2146-2006,https://copacabanaodonto.com.br/,site próprio,406
Atelie Dental,(21) 98789-0674,http://www.ateliedental.com/,site próprio,"ERRO: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Clinica Odontologica Oral 360 Copacabana | Dentista,(21) 99597-5729,http://www.oral360.com.br/,site próprio,200
