name,website,phone,status,tipo_site
"Sorridents Anhangabau: Clinica Odontologica, Dentista, Implante Dentario, Sao Paulo SP",https://sorridents.com.br/unidade/anhangabau,(11) 3214-0971,403,site próprio
Clinica Dra. Marytha Nara | lentes em resina em Tatuape Sao Paulo | Implantes dentarios em Tatuape Sao Paulo,https://dramarythanara.com.br/,(11) 98921-6340,200,site próprio
Dentista | Siso | Implante Dentario | Protese Protocolo | Aparelho | OdontoGama | Protese Dentaria | Dor de dente,http://odontogama.com.br/,(11) 3459-4440,"ERRO: HTTPSConnectionPool(host='odontogama.com.br', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'odontogama.com.br'. (_ssl.c:1000)"")))",site próprio
Dra. Carolina M. Ribeiro,http://www.dentistatatuape.com/,(11) 3805-3596,406,site próprio
"Dra Luciana Ferreira Batista / Dentista particular e convenios (Bradesco, Odontoprev, etc)",,(11) 99112-4645,,sem site
OdontoUno,http://www.odontouno.com.br/,(11) 97470-7172,200,site próprio
Instituto Odontologico - Implantes dentarios em Moema - Dentista de urgencia em Moema,,(11) 91437-2728,,sem site
Sao Paulo Dental Studio,http://www.saopaulodentalstudio.com.br/,(11) 94506-8360,406,site próprio
AGN Odontologia | Implante Dentario | Aparelho Invisivel | Parque da Mooca | Sao Paulo - SP,http://www.agnodontologia.com.br/,(11) 4750-2613,200,site próprio
Portal do Sorriso,https://www.portaldosorriso.com.br/,(11) 95716-8474,403,site próprio
Dentar Odontologia,https://www.dentar.com.br/,(11) 97329-0094,200,site próprio
Phile Odontologia| Dentista Av. Paulista| Implantes | Invisalign| Periodontia| Endodontia,http://www.phileodontologia.com.br/,(11) 3051-6624,406,site próprio
Invisalign Vila Mariana | NIPO Odontologia | Clinica Odontologica Multidisciplinar | Sao Paulo,,(11) 5081-5288,,sem site
Clinica Odontologica DenteFix - Jd Sao Paulo - Zona Norte SP,https://beacons.ai/dentefix,(11) 3791-0461,403,agregador/social
Dra. Michelle C. Rodrigues,https://www.dramichellecrodrigues.com/,(11) 97629-1674,200,site próprio
RM Odontologia Integrada | Implante Dentario | Aparelho Invisivel | Vila Clementino | Sao Paulo - SP,https://rmodontointegrada.com.br/,(11) 4750-2343,200,site próprio
LSR ODONTOLOGIA,https://www.lsrodontologia.com.br/,(11) 96359-4671,406,site próprio
Odontologia Sistemica,http://odontologiasistemica.com.br/,(11) 3661-8533,"ERRO: HTTPConnectionPool(host='odontologiasistemica.com.br', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000016FD56C4860>: Failed to resolve 'odontologiasistemica.com.br' ([Errno 11001] getaddrinfo failed)""))",site próprio
Odontoclinic Vila Mariana,https://odontoclinicvilamariana.com.br/,(11) 99945-8333,200,site próprio
Clinica Sorrisinhos l Ortodontia l Odontopediatria l Pacientes Especiais,http://www.sorrisinhos.com.br/,(11) 99182-8232,200,site próprio
"Clinica Hub Odonto Vila Olimpia - Implante Dentario, Facetas Dentaria, Clareamento, Harmonizacao Facial",https://hubodontovilaolimpia.com.br/,(11) 91755-4254,200,site próprio
Inova Premier - Clinica Odontologica - Implantes em ate 24H,http://www.inovapremier.com.br/,(11) 3881-6100,200,site próprio
Clinica Miki Odontologia Familiar,https://www.odontomiki.com.br/,(11) 99690-9054,200,site próprio
"Carvalho Odontologia | Dentista Especialista em Implante, Lente, Protese... Porto Seguro, Sulamerica, Careplus, Rede Unna...",http://www.carvalhoodontologia.com.br/,(11) 2201-4007,200,site próprio
Dra. Natalia Mosca,,(11) 99445-1842,,sem site
Idee Odontologia,http://ideeodontologia.com.br/,(11) 5083-3144,200,site próprio
Implantes Dentarios | Dentista | Clinica Muniz | Itaim Bibi - SP,http://www.clinicamuniz.com.br/,(11) 91561-3734,200,site próprio
Clinica Odontologica,,(11) 4301-9799,,sem site
Dentz Vila Mariana Clinica Odontologica,"https://api.whatsapp.com/send?phone=5511946046000&text=Ol%C3%A1,%20quero%20agendar%20uma%20avalia%C3%A7%C3%A3o!",(11) 94604-6000,200,agregador/social
COI - Clinica de Odontologia Integrada | Dentista | Implante Dentario | Vila Andrade | Sao Paulo - SP,http://www.odontologiacoi.com.br/,(11) 4750-1313,406,site próprio
Dra. Isabela Martins | Dentista,https://www.institutounitus.com.br/,(11) 93723-8039,200,site próprio
Suzuki Dental Care Dr.Lauro Suzuki,,(11) 99933-4035,,sem site
A Clinica Oral,https://www.aclinicaoral.com.br/,(11) 3849-8866,200,site próprio
Odontoclinic - Santa Cecilia,https://www.clinicaemsantacecilia.com.br/,(11) 2157-1870,200,site próprio
"Dentista Dr. Miarelli - Lentes de Resina em Sao Paulo, SP",http://www.drmiarelli.com.br/,(11) 94358-8838,"ERRO: HTTPConnectionPool(host='www.drmiarelli.com.br', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000016FD56A74D0>: Failed to resolve 'www.drmiarelli.com.br' ([Errno 11001] getaddrinfo failed)""))",site próprio
Implante Dentario I Dentista I EspacoDent l Socorro l Sao Paulo - SP,https://www.instagram.com/espacodent/,(11) 4750-2345,200,agregador/social
ImplArt Odontologia Implante Dentario,https://www.implart.com.br/,(11) 3262-4750,200,site próprio
Benatti Odontologia,http://www.benattiodontologia.com.br/,(11) 97632-4570,200,site próprio
Dentista em Jardim Paulista SP | Borges Britto Odonto,http://borgesbrittoodonto.renderforestsites.com/,(11) 99777-7137,404,site próprio
Odonto Sorriso SP,https://odontosorrisosp.com.br/,(11) 3237-0210,200,site próprio
Clinica OdontoFares,http://www.odontofares.com.br/,(11) 3062-4473,200,site próprio
Dentista Av Paulista Dra.Regla,https://draregladentista.com/,(11) 99202-7527,406,site próprio
Sorridents,https://sorridents.com.br/,(11) 99183-5932,403,site próprio
SouSmile | Paulista | Aparelho Invisivel,https://www.sousmile.com/,(11) 93305-8978,200,site próprio
Dentista - Dra. Claudia Marchetto Costa ( Odontologia Marchetto Costa ),https://www.odontologiamarchettocosta.com.br/,(11) 93430-6262,520,site próprio
Meu Dentista SP,https://meudentistaspimplantes.com.br/,(11) 3530-3832,"ERRO: HTTPSConnectionPool(host='meudentistaspimplantes.com.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016FD54CF500>: Failed to resolve 'meudentistaspimplantes.com.br' ([Errno 11001] getaddrinfo failed)""))",site próprio
W Odonto|Dentista Paraiso|Microscopio Operatorio|Implantes Dentarios|Ortodontia Invisalign|Estetica Dental|Endodontia,http://www.instagram.com/wodontoconsultorio,(11) 98766-1249,200,agregador/social
Sorriso Santana Estudio Oral,https://www.sorrisosantana.com.br/,(11) 2288-1111,406,site próprio
Coopa Odontologia | Dentista em Sao Paulo,http://coopaodontologia.com.br/,(11) 3331-4815,406,site próprio
Implante Dentario Odonto Clinica Romano,https://bit.ly/3DfKwCs,(11) 3813-6207,"ERRO: HTTPSConnectionPool(host='www.romano-odonto.com.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016FD56C5910>: Failed to resolve 'www.romano-odonto.com.br' ([Errno 11001] getaddrinfo failed)""))",agregador/social
Setimplan Centro Odontologico,http://setimplan.com.br/,(11) 3231-5696,200,site próprio
Dental Studio | Implantes dentarios | Dentista | Tucuruvi | Zona Norte - SP,https://clinicadentalstudio.com.br/,(11) 4750-1574,200,site próprio
Odonto Center Sp-Odontologia Especializada em Sao Paulo,,(11) 99347-6051,,sem site
Odonto Bela Vista,https://odontobelavista.com.br/,(11) 94134-6141,200,site próprio
Implante Dentario | Lentes de Contato Dental | Fratelli Odontologia | Barra Funda - Sao Paulo - SP,http://www.fratelliodontologia.com.br/,(11) 91373-7559,"ERRO: HTTPConnectionPool(host='www.fratelliodontologia.com.br', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000016FD56A7BC0>: Failed to resolve 'www.fratelliodontologia.com.br' ([Errno 11001] getaddrinfo failed)""))",site próprio
Odontoclinic Cidade Ademar,https://odontocliniccidadeademar.com.br/,(11) 94723-5723,200,site próprio
Odonto Pinheiros,http://www.odontopinheiros.com.br/,(11) 3081-9404,200,site próprio
"Restore Sorriso Clinica Odontologica, Referencia Lentes de Resina/Porcelana, Dentista, Tatuape, Sao Paulo",https://www.restoresorriso.com.br/,(11) 97839-3410,200,site próprio
Pro Dentistas,,(11) 3241-1974,,sem site
Clinica-Escola de Odontologia,https://www.unicid.edu.br/servicos-a-comunidade/clinica-escola-de-odontologia/,(11) 2178-1460,403,site próprio
Sorridents,http://www.sorridents.com.br/unidade/augusta/,(11) 2129-7624,403,site próprio
Facere Odontologia Especializada | Dentistas | Implante dentario | Clareamento dental,http://www.facereodonto.com.br/,(11) 99527-2236,200,site próprio
Clinica Nova Jerusalem - Dentista Sao Paulo,https://www.clinicanovajerusalem.com/,(11) 99463-8070,406,site próprio
Confio Odontologia | Implantes | Proteses | Dentista em Sao Paulo,,(11) 94055-8565,,sem site
Clinica MIASIRO,http://www.odontologiamiasiro.com/,(11) 3826-0348,200,site próprio
Unika Odontologia,http://unikaodontologia.com.br/odonto/,(11) 4750-1595,"ERRO: HTTPConnectionPool(host='unikaodontologia.com.br', port=80): Max retries exceeded with url: /odonto/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000016FD56A6A80>: Failed to resolve 'unikaodontologia.com.br' ([Errno 11001] getaddrinfo failed)""))",site próprio
Dentate Clinica Odontologica,http://www.dentate.com.br/,(11) 97272-3368,200,site próprio
Clinica Cor Odonto,https://www.corodonto.com/,(11) 3251-5821,200,site próprio
Pode Sorrir - Clinica Odontologica,https://www.podesorrir.com.br/,(11) 5199-9469,"ERRO: HTTPSConnectionPool(host='www.podesorrir.com.br', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1000)')))",site próprio
ACS Odontologia | Dentista em Itaquera,,(11) 2205-5290,,sem site
Sorridents,https://sorridents.com.br/unidade/tatuape,(11) 2227-3700,403,site próprio
Clinica Odontothal - Dentista no Tucuruvi,http://www.odontothal.com.br/,(11) 2307-4535,"ERRO: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",site próprio
Dentista Perto de Mim | Consultorio Odontologico Dra Ana Carolina,,(11) 98507-0994,,sem site
HMeister Odontologia - Dentista Brooklin Sao Paulo,https://www.hmeister.com.br/,(11) 4301-7300,200,site próprio
NEO - Nucleo de Estudos Odontologicos,http://www.neoodonto.com.br/,(11) 5084-1926,"ERRO: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",site próprio
Odonto Sessao Unica,,(11) 5051-2148,,sem site
Clinica So Dente,http://www.sodente.com.br/,(11) 94767-5276,406,site próprio
Clinica Dr. Ricardo Aguilar,http://www.clinicaricardoaguilar.com.br/,(21) 2247-6156,200,site próprio
Dra. Renata Pinho - Lagoa Rio Odontologia,https://www.instagram.com/lagoario_odonto/,(21) 98419-0453,200,agregador/social
"Consultorio Odontologico Particular Bianca Barata | Dentista Emergencia 24h WhatsApp | Protese, Implante - Copacabana/RJ",http://www.biancabarata.com/,(21) 99570-2659,406,site próprio
"SorriaMed Clinica Odontologica | Equipe de Dentistas Especialistas na Taquara | Implantes Dentarios, Proteses e Estetica.",https://www.sorriamed.com.br/,(21) 99933-2421,200,site próprio
Walmira Clinica Odontologica - Dentistas - Atendimento de Urgencia e Emergencia,http://www.walmira.com.br/,(21) 3875-9909,200,site próprio
Dentista Dra. Jessica Morais | Clinica Odontologica | Lente de Resina | Faceta | Invisalign | Ortodontia | Limpeza | Botafogo,https://tinyurl.com/dentistajessicamorais,(21) 98103-3189,200,agregador/social
Odontoarte Rio | Odontologia Especializada,http://odontoarterio.com/,(21) 2240-3543,406,site próprio
021 Dental | Dentista Carioca Shopping RJ | Amil Hapvida Metlife Primavida Sulamerica Unimed,https://021dental.com.br/dentista-carioca-shopping-rj/,(21) 97637-2259,200,site próprio
Dentista Tijuca RJ | Amil Hapvida Metlife Primavida Sulamerica Unimed,https://021dental.com.br/dentista-na-tijuca-rj/,(21) 96779-4631,200,site próprio
J.Juca Odontologia | Dentista 24 Horas Largo do Machado - Rio de Janeiro,https://j-juca-odontologia.com.br/,(21) 99750-7770,200,site próprio
Clinica Odontologica / Dra. Flavia Rabello de Mattos / Tijuca - RJ,https://www.draflaviarabellodemattos.com.br/,(21) 3978-3331,200,site próprio
Dentista Barra da Tijuca | Amil Hapvida Metlife Primavida Sulamerica Unimed,https://021dental.com.br/dentista-na-barra-da-tijuca/,(21) 97550-4483,200,site próprio
Rio Dentistas 24 Horas,https://www.riodentistas24horas.com.br/,(21) 99372-8715,200,site próprio
PREV ODONTO PRIME,,(21) 98157-9671,,sem site
Clinica Odontobarra | Dentista | Implante Dentario | Barra da Tijuca,https://www.clinicaodontobarra.com.br/,(21) 97559-3724,406,site próprio
Odonto Liuzzi | Lentes de Contato Dental | Protese Protocolo | Ortodontia| Periodontia | Implante | Dental Tourism,https://odontoliuzzi.com.br/?utm_source=google&utm_medium=gmb&utm_campaign=perfil,(21) 96933-5067,200,site próprio
Dentista 24 horas Urgencia - Smile Care,https://dentista24horas.meudoutor.com/,(21) 99073-6585,200,site próprio
Dentista Meier RJ | Amil Bradesco Metlife Primavida Sulamerica Unimed,https://021dental.com.br/dentista-no-meier-rj/,(21) 2263-8960,200,site próprio
Dentista Madureira RJ | Amil Hapvida Metlife Primavida Sulamerica Unimed,https://021dental.com.br/dentista-em-madureira-rj/,(21) 2263-8960,200,site próprio
Dentista Bonsucesso RJ | Amil Hapvida Metlife Primavida Sulamerica Unimed,https://021dental.com.br/dentista-em-bonsucesso-rj/,(21) 2263-8960,200,site próprio
Clinica Ana Andrade,http://anaandrade.odo.br/,(21) 99838-0021,200,site próprio
Dentistas Copacabana - Clinica Odontologica,http://wa.me/+5521996167799,(21) 99616-7799,200,agregador/social
Consultorio MR Odontologia | Dentista na Vila da Penha | Emergencia Odontologica | Implante Dentario,https://consultoriomrodontologia.com.br/,(21) 96572-1313,200,site próprio
"Dra. Gabriela Lemos, Dentista",https://www.doctoralia.com.br/gabriela-lemos/dentista/rio-de-janeiro?utm_source=google&utm_medium=gmb&utm_campaign=694890&utm_content=website,,200,site próprio
021 Dental | JN Odontologia | Dentista Taquara | Amil Hapvida Metlife Primavida Sulamerica Unimed,https://021dental.com.br/dentista-na-taquara-rj/,(21) 97522-0948,200,site próprio
Clinica Sorrio | Implante Dentario | Dentista de emergencia | Clinica odontologica | Copacabana | Rio de Janeiro - RJ,https://www.sorrio.com.br/,(21) 3959-5277,200,site próprio
Oral Unic Copacabana | Implantes Dentarios | Clinica Odontologica | Dentistas Copacabana | Rio de Janeiro - RJ,https://oraluniccopacabana.com.br/,(21) 3738-7971,406,site próprio
Orto Padrao,http://ortopadrao.com.br/,(21) 97660-7628,406,site próprio
Clinica My Way Odontologia - Emergencia Odontologica 24 Horas - Tijuca,https://myway-odontologia.com/,(21) 99977-8183,200,site próprio
Centro Odontologico Carioca | Dentista Centro RJ,https://www.centroodontologicocarioca.com.br/,(21) 99679-0295,200,site próprio
Dentista Copacabana - Consultorio Odontologico Vitrine,,(21) 96572-2498,,sem site
Dentista Jacarepagua RJ | Amil Hapvida Metlife Primavida Sulamerica Unimed,https://021dental.com.br/dentista-em-barra-da-tijuca-abelardo-bueno/,(21) 96099-3019,200,site próprio
Dra. Daiane Paloschi - Dentista no Rio de Janeiro,https://dradaianepaloschi.com.br/,(21) 99622-9549,406,site próprio
Nahser Odontologia Tijuca,http://nathaliadiasodonto.com.br/,(21) 99251-9760,200,site próprio
Dentista Metlife,https://021dental.com.br/dentista-em-bangu-rj/,(21) 2263-8960,200,site próprio
"Dentista Dr Gerson Clinica Condent | Implante Dentario, Lentes de contato dental, Harmonizacao Orofacial",http://condent.com.br/,(21) 2270-8870,503,site próprio
Dentista Emergencia Zona Sul RJ,https://rafaelcalabrio.com.br/,(21) 99720-9594,200,site próprio
Dr. Rony Hansen - Urgencias Dentarias 24 Horas | Ipanema,http://www.dentistasemipanema.com.br/,(21) 99989-5247,200,site próprio
SempreSorrir Odontologia | Implante Dentario | Aparelho Dentario | Vila Isabel | Rio de Janeiro - RJ,https://www.clinicasempresorrir.com.br/implantes,(21) 3512-1191,200,site próprio
Dentista Copacabana RJ | Amil Hapvida Metlife Primavida Sulamerica Unimed,https://021dental.com.br/dentista-em-copacabana-rj/,(21) 99492-4106,200,site próprio
Service Odonto Laranjeiras,https://www.serviceodonto.com.br/,(21) 98744-2039,"ERRO: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",site próprio
Centro Odontologico da Tijuca,https://www.centroodontologicodatijuca.com.br/,(21) 2570-6047,"ERRO: HTTPSConnectionPool(host='www.centroodontologicodatijuca.com.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016FD56C58E0>: Failed to resolve 'www.centroodontologicodatijuca.com.br' ([Errno 11001] getaddrinfo failed)""))",site próprio
Dentista Ipanema,https://www.dentistaipanema.com/,(21) 98898-6552,200,site próprio
OdontoCompany Bonsucesso/RJ,http://www.odontocompanybonsucesso.com.br/,(21) 97035-9288,200,site próprio
ApicalCenter Clinica Odontologica no Rio de Janeiro,https://www.apicalcenter.com.br/,(21) 2481-1258,406,site próprio
Implante Sorrir (Vila da Penha),http://www.draclaudiademendonca.com/,(21) 99508-8686,405,site próprio
Clinica Multi Oral,http://www.multioral.com.br/,(21) 98697-2009,200,site próprio
DENTISTA 24 HORAS ODONTO MEIER RJ,,(21) 97655-8287,,sem site
Dra. Valeria Ferreira | Dentista no Meier Rio de Janeiro | Odontologia Estetica e Clareamento Dental no Meier,https://sites.google.com/view/dentistavaleriaferreira/in%C3%ADcio,(21) 99250-6802,200,agregador/social
Guilherme Rothier,https://www.guilhermerothier.com.br/,(21) 96899-2262,"ERRO: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",site próprio
Loureiro Odontologia,https://www.loureiroodontologia.com.br/,(21) 97736-7436,200,site próprio
Dentista Centro RJ | Odonto Loureiro Clinica Odontologica,http://odontoloureiro.com.br/,(21) 2263-9285,200,site próprio
Office Dente Centro Odontologico - UNIDADE CENTRO,,(21) 97002-0303,,sem site
Sorria Rio Dentistas,https://www.instagram.com/sorriariomadureira1/,(21) 3988-8824,200,agregador/social
Cinelli Odontologia,https://clinicacinelliodontologia.com.br/dentista-centro-rio-de-janeiro/,(21) 99799-4775,406,site próprio
Dentista Ilha do Governador RJ | Amil Hapvida Metlife Primavida Sulamerica Unimed,https://021dental.com.br/dentista-ilha-do-governador-rj/,(21) 2263-8960,200,site próprio
Service Odonto Meier 2,,(21) 98744-2039,,sem site
Service Odonto Ramos,https://www.serviceodonto.com.br/,(21) 98744-2039,"ERRO: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",site próprio
RR Clinica Odontologica,https://wa.me/5521979858731,(21) 97985-8731,200,agregador/social
Dentista Dra. Ana Araujo,,(21) 96708-3251,,sem site
Dentistas 24 Horas | Dental Face Leblon,https://dentalfaceleblon.com.br/,(21) 2274-4144,200,site próprio
Dentista Tijuca-Rio de Janeiro Dra Erica Lopes,https://www.draerica.com/,(21) 96586-8967,"ERRO: HTTPSConnectionPool(host='www.draerica.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1000)')))",site próprio
Rs Odontologia,http://www.rsodontologia.com.br/,(21) 99501-0580,200,site próprio
Dr. Carlos Pazin - Unidade Catete & Largo do Machado - Centro de Odontologia e Saude Oral,https://drcarlospazin.com.br/,(21) 99401-4570,200,site próprio
Dentista Freguesia Jacarepagua RJ | Amil Hapvida Metlife Primavida Sulamerica Unimed,https://021dental.com.br/dentistas-freguesia-jacarepagua/,(21) 2263-8960,200,site próprio
Sorria Odontologia | Hospital da Gamboa,http://sorriaodontologia.com/,(21) 2018-2537,406,site próprio
Dr. Carlos Pazin - Unidade Leblon - Centro de Odontologia e Saude Oral,https://drcarlospazin.com.br/,(21) 97185-7509,200,site próprio
Clinica Odontologica Odontocor - Dentista Centro Rj | Especialista em Tratamento de Canal,https://www.dentistacentrodorio.com.br/,(21) 99601-8629,200,site próprio
Service Odonto Riachuelo,https://www.serviceodonto.com.br/,(21) 98744-2039,"ERRO: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",site próprio
My Way Odontologia | Emergencia Odontologica 24 horas,http://myway-odontologia.com/,(21) 99977-8183,200,site próprio
IR Implante Rio,http://www.implanterio.net/,(21) 3208-1923,200,site próprio
Dentista no Meier - Pedro Augusto Odontologia,https://drpedroaugusto.com.br/,(21) 96618-2020,406,site próprio
Clinica Odontologica Dr. Wellington Vasques,http://www.odontovasques.com/,(21) 3301-1147,200,site próprio
clinica dentistas:)smile,,(21) 98737-4171,,sem site
Top Implantes Odontologia - Dentista Rio de Janeiro,https://www.topimplantes.com/proteses-e-implantes-dentarios/,(21) 96436-2456,200,site próprio
ODONTO R 24H,https://odontor24h.wixsite.com/website,(21) 2594-5144,200,site próprio
Clinica Odonto Rio Iraja,,(21) 99355-4421,,sem site
Dr. Igor Ramos - Harmonizacao Facial Rio de Janeiro - Preenchimento Labial Rio de Janeiro - Botox Rio de janeiro- Sculptra RJ,http://www.drigorramos.com.br/,(21) 96979-1126,200,site próprio
Gilaberte Estetica e Odontologia | Harmonizacao Facial | Botox | Dentista | Implante | Protese | Centro Rio de Janeiro RJ,http://bit.ly/3uaqV0M,(21) 98882-1605,200,agregador/social
Copacabana Odonto,https://copacabanaodonto.com.br/,(21) 2146-2006,406,site próprio
Atelie Dental,http://www.ateliedental.com/,(21) 98789-0674,"ERRO: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",site próprio
Clinica Odontologica Oral 360 Copacabana | Dentista,http://www.oral360.com.br/,(21) 99597-5729,200,site próprio
Odontopediatra e Cirurgia-Dentista (Dra. Beatriz Tenorio),https://www.beatriztenorio.com.br/,(21) 99883-5121,200,site próprio
Emergencia Dentista 24 horas RJ - Equipe Kruger,https://www.dentistadeemergenciarj.com.br/,(21) 3344-0776,200,site próprio
